event_id,timestamp,event_type,source,severity,raw_log,advanced_metadata,user,action,object,process_id,parent_process,additional_info,description,behavioral_analytics,device_type,device_id,firmware_version,src_ip,dst_ip,alert_type,signature_id,category,cloud_service,resource_id,model_id,input_hash,output_hash,src_port,dst_port,protocol,bytes,duration,method,mac_address,advanced_metadata_dict,host_id
e400e1b2-d174-43d0-8a17-f1f966a2b857,2025-03-21 10:03:20,ids_alert,Carbon Black v7.8.0,critical,CEF:0|Carbon Black v7.8.0|SIEM|1.0|100|ids_alert|critical| desc=Carbon Black Alert: Credential Stuffing detected from 54.159.34.148 targeting N/A No additional info,"{'geo_location': 'Mexico', 'device_hash': '63c4a533200b95fef99dc4d1b50c5a62', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/60.0.854.0 Safari/532.2', 'session_id': 'd31334f8-9de7-435a-8dbb-f27b5c356a5c', 'risk_score': 69.05, 'confidence': 0.84}",,,,,,No additional info,Carbon Black Alert: Credential Stuffing detected from 54.159.34.148 targeting N/A No additional info,,,,,54.159.34.148,,Credential Stuffing,SIG-9267,Exploit,,,,,,,,,,,,,"{'geo_location': 'Mexico', 'device_hash': '63c4a533200b95fef99dc4d1b50c5a62', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/60.0.854.0 Safari/532.2', 'session_id': 'd31334f8-9de7-435a-8dbb-f27b5c356a5c', 'risk_score': 69.05, 'confidence': 0.84}",63c4a533200b95fef99dc4d1b50c5a62
35f63282-68d8-413d-a615-7222d79469bd,2025-04-05 05:52:12,ids_alert,QRadar v7.5.0,critical,CEF:0|QRadar v7.5.0|SIEM|1.0|100|ids_alert|critical| desc=QRadar Alert: Fileless Attack detected from 196.221.103.178 targeting N/A MITRE Technique: T1190,"{'geo_location': 'North Korea', 'device_hash': 'cca25ba9a1cd7d3c0e950f203729614a244b1bc09f398c71fe2dc7981864bc30', 'user_agent': 'Opera/8.83.(X11; Linux i686; ff-SN) Presto/2.9.186 Version/10.00', 'session_id': '495b58cd-5217-42fa-a8a6-f4a60715bac2', 'risk_score': 52.07, 'confidence': 0.19}",,,,,,MITRE Technique: T1190,QRadar Alert: Fileless Attack detected from 196.221.103.178 targeting N/A MITRE Technique: T1190,,,,,196.221.103.178,,Fileless Attack,SIG-3838,Recon,,,,,,,,,,,,,"{'geo_location': 'North Korea', 'device_hash': 'cca25ba9a1cd7d3c0e950f203729614a244b1bc09f398c71fe2dc7981864bc30', 'user_agent': 'Opera/8.83.(X11; Linux i686; ff-SN) Presto/2.9.186 Version/10.00', 'session_id': '495b58cd-5217-42fa-a8a6-f4a60715bac2', 'risk_score': 52.07, 'confidence': 0.19}",cca25ba9a1cd7d3c0e950f203729614a244b1bc09f398c71fe2dc7981864bc30
51c0d91d-6c60-4ff5-990b-e89d75b03a00,2025-02-14 18:45:36,ids_alert,Splunk v9.0.2,critical,CEF:0|Splunk v9.0.2|SIEM|1.0|100|ids_alert|critical| desc=Splunk Alert: Credential Stuffing detected from 18.11.108.18 targeting N/A MITRE Technique: T1218.011,"{'geo_location': 'Papua New Guinea', 'device_hash': '5b438e9b1908e347ff8336fb9ca09de6f87c35a99657210828f23276fea649fa', 'user_agent': 'Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/4.1)', 'session_id': '67f50036-9e06-495a-a6e9-86eedcb9d4bd', 'risk_score': 35.93, 'confidence': 0.8}",,,,,,MITRE Technique: T1218.011,Splunk Alert: Credential Stuffing detected from 18.11.108.18 targeting N/A MITRE Technique: T1218.011,,,,,18.11.108.18,,Credential Stuffing,SIG-9233,Recon,,,,,,,,,,,,,"{'geo_location': 'Papua New Guinea', 'device_hash': '5b438e9b1908e347ff8336fb9ca09de6f87c35a99657210828f23276fea649fa', 'user_agent': 'Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/4.1)', 'session_id': '67f50036-9e06-495a-a6e9-86eedcb9d4bd', 'risk_score': 35.93, 'confidence': 0.8}",5b438e9b1908e347ff8336fb9ca09de6f87c35a99657210828f23276fea649fa
23c9e186-0d6c-4bdc-b506-bc4f7e7570e2,2025-05-28 07:23:57,ids_alert,ArcSight v7.4.0,high,CEF:0|ArcSight v7.4.0|SIEM|1.0|100|ids_alert|high| desc=ArcSight Alert: Container Escape detected from 81.246.43.100 targeting N/A Unconventional IOC: TPM attestation failures,"{'geo_location': 'Lithuania', 'device_hash': '90577088051673235d61293aaae4a83c', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/15.0.871.0 Safari/534.1', 'session_id': '8448c4d4-f5ab-460a-b5d2-ec116b8ac65a', 'risk_score': 72.71, 'confidence': 0.67}",,,,,,Unconventional IOC: TPM attestation failures,ArcSight Alert: Container Escape detected from 81.246.43.100 targeting N/A Unconventional IOC: TPM attestation failures,,,,,81.246.43.100,,Container Escape,SIG-5477,Policy,,,,,,,,,,,,,"{'geo_location': 'Lithuania', 'device_hash': '90577088051673235d61293aaae4a83c', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/15.0.871.0 Safari/534.1', 'session_id': '8448c4d4-f5ab-460a-b5d2-ec116b8ac65a', 'risk_score': 72.71, 'confidence': 0.67}",90577088051673235d61293aaae4a83c
a0159e84-e361-4ac2-8fc2-4387acca1e5d,2025-02-22 05:33:43,ids_alert,Tanium v7.4.0,high,CEF:0|Tanium v7.4.0|SIEM|1.0|100|ids_alert|high| desc=Tanium Alert: DNS Tunneling detected from 10.180.90.215 targeting 123.198.77.58 No additional info,"{'geo_location': 'Timor-Leste', 'device_hash': '4d282c633f9a05350e551fc7c518bde2cb0412f3338febab07b648679262a386', 'user_agent': 'Mozilla/5.0 (Android 4.0.2; Mobile; rv:23.0) Gecko/23.0 Firefox/23.0', 'session_id': 'edd40487-0e51-44bb-87fd-4756194ceee6', 'risk_score': 44.15, 'confidence': 0.46}",,,,,,No additional info,Tanium Alert: DNS Tunneling detected from 10.180.90.215 targeting 123.198.77.58 No additional info,"{'baseline_deviation': 2.24, 'entropy': 5.35, 'frequency_anomaly': False, 'sequence_anomaly': True}",,,,10.180.90.215,123.198.77.58,DNS Tunneling,SIG-8598,Policy,,,,,,,,,,,,,"{'geo_location': 'Timor-Leste', 'device_hash': '4d282c633f9a05350e551fc7c518bde2cb0412f3338febab07b648679262a386', 'user_agent': 'Mozilla/5.0 (Android 4.0.2; Mobile; rv:23.0) Gecko/23.0 Firefox/23.0', 'session_id': 'edd40487-0e51-44bb-87fd-4756194ceee6', 'risk_score': 44.15, 'confidence': 0.46}",4d282c633f9a05350e551fc7c518bde2cb0412f3338febab07b648679262a386
bb8041f1-2e00-4fd0-8f2e-3135e5c4925e,2025-03-09 00:47:08,ids_alert,AlienVault v5.7.0,medium,CEF:0|AlienVault v5.7.0|SIEM|1.0|100|ids_alert|medium| desc=AlienVault Alert: AI Model Poisoning detected from 137.222.234.235 targeting 22.2.64.7 No additional info noise=BF83BF1E,"{'geo_location': 'Saint Martin', 'device_hash': '5d2fde309c261615023f665f58f8f981', 'user_agent': 'Mozilla/5.0 (Linux; Android 2.2.2) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/21.0.856.0 Safari/533.1', 'session_id': 'a0195c07-9ead-4391-ac13-825200f774c1', 'risk_score': 56.68, 'confidence': 0.68}",,,,,,No additional info,AlienVault Alert: AI Model Poisoning detected from 137.222.234.235 targeting 22.2.64.7 No additional info,"{'baseline_deviation': 0.56, 'entropy': 2.82, 'frequency_anomaly': True, 'sequence_anomaly': True}",,,,137.222.234.235,22.2.64.7,AI Model Poisoning,SIG-9100,Malware,,,,,,,,,,,,,"{'geo_location': 'Saint Martin', 'device_hash': '5d2fde309c261615023f665f58f8f981', 'user_agent': 'Mozilla/5.0 (Linux; Android 2.2.2) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/21.0.856.0 Safari/533.1', 'session_id': 'a0195c07-9ead-4391-ac13-825200f774c1', 'risk_score': 56.68, 'confidence': 0.68}",5d2fde309c261615023f665f58f8f981
27ee77cb-7700-487e-917e-8bfe3f6593a3,2025-05-20 22:41:55,ids_alert,Vectra AI v5.0.0,emergency,CEF:0|Vectra AI v5.0.0|SIEM|1.0|100|ids_alert|emergency| desc=Vectra AI Alert: Cloud API Abuse detected from 20.244.70.237 targeting 169.158.142.25 MITRE Technique: T1190,"{'geo_location': 'Norfolk Island', 'device_hash': 'dae87cc981444f505809cc9dd8988196', 'user_agent': 'Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/535.32.6 (KHTML, like Gecko) Version/5.0.1 Safari/535.32.6', 'session_id': '5e49d858-00b2-40d9-a748-587aca36d630', 'risk_score': 61.33, 'confidence': 0.1}",,,,,,MITRE Technique: T1190,Vectra AI Alert: Cloud API Abuse detected from 20.244.70.237 targeting 169.158.142.25 MITRE Technique: T1190,,,,,20.244.70.237,169.158.142.25,Cloud API Abuse,SIG-6396,Recon,,,,,,,,,,,,,"{'geo_location': 'Norfolk Island', 'device_hash': 'dae87cc981444f505809cc9dd8988196', 'user_agent': 'Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/535.32.6 (KHTML, like Gecko) Version/5.0.1 Safari/535.32.6', 'session_id': '5e49d858-00b2-40d9-a748-587aca36d630', 'risk_score': 61.33, 'confidence': 0.1}",dae87cc981444f505809cc9dd8988196
eb96793d-01a5-407a-bd6a-696a3b1b0693,2025-06-01 23:09:15,ids_alert,CrowdStrike v6.45.0,emergency,CEF:0|CrowdStrike v6.45.0|SIEM|1.0|100|ids_alert|emergency| desc=CrowdStrike Alert: Supply Chain Compromise detected from 148.203.68.188 targeting 99.255.188.200 No additional info,"{'geo_location': 'Saint Barthelemy', 'device_hash': '17cd2cc58537d205fe1565709978d341a79e8b92', 'user_agent': 'Mozilla/5.0 (Linux; Android 2.3) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/42.0.836.0 Safari/532.1', 'session_id': '2e4ef878-9d62-4e4c-811e-fee584d15bea', 'risk_score': 65.59, 'confidence': 0.7}",,,,,,No additional info,CrowdStrike Alert: Supply Chain Compromise detected from 148.203.68.188 targeting 99.255.188.200 No additional info,,,,,148.203.68.188,99.255.188.200,Supply Chain Compromise,SIG-6260,Recon,,,,,,,,,,,,,"{'geo_location': 'Saint Barthelemy', 'device_hash': '17cd2cc58537d205fe1565709978d341a79e8b92', 'user_agent': 'Mozilla/5.0 (Linux; Android 2.3) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/42.0.836.0 Safari/532.1', 'session_id': '2e4ef878-9d62-4e4c-811e-fee584d15bea', 'risk_score': 65.59, 'confidence': 0.7}",17cd2cc58537d205fe1565709978d341a79e8b92
2faa4b13-ac18-4b51-bde4-3582c5e1f7d2,2025-02-14 17:08:51,ids_alert,Splunk v9.0.2,medium,CEF:0|Splunk v9.0.2|SIEM|1.0|100|ids_alert|medium| desc=Splunk Alert: Zero-Day Exploit detected from 30.120.178.44 targeting 144.53.33.224 No additional info,"{'geo_location': 'Ghana', 'device_hash': 'a31e1a67c8c8c005d9961a204100adbe', 'user_agent': 'Mozilla/5.0 (Windows NT 5.2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/23.0.810.0 Safari/532.2', 'session_id': 'e3174c71-a70b-4ee9-9b86-b3cd015b1e23', 'risk_score': 29.3, 'confidence': 0.66}",,,,,,No additional info,Splunk Alert: Zero-Day Exploit detected from 30.120.178.44 targeting 144.53.33.224 No additional info,,,,,30.120.178.44,144.53.33.224,Zero-Day Exploit,SIG-6314,Evasion,,,,,,,,,,,,,"{'geo_location': 'Ghana', 'device_hash': 'a31e1a67c8c8c005d9961a204100adbe', 'user_agent': 'Mozilla/5.0 (Windows NT 5.2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/23.0.810.0 Safari/532.2', 'session_id': 'e3174c71-a70b-4ee9-9b86-b3cd015b1e23', 'risk_score': 29.3, 'confidence': 0.66}",a31e1a67c8c8c005d9961a204100adbe
67918cc9-6b31-4d8f-be3c-a526e217ada9,2025-04-07 00:57:34,ids_alert,ArcSight v7.4.0,emergency,CEF:0|ArcSight v7.4.0|SIEM|1.0|100|ids_alert|emergency| desc=ArcSight Alert: Container Escape detected from 3.17.60.36 targeting N/A No additional info noise=VGhlb3J5Lg==,"{'geo_location': 'Lesotho', 'device_hash': 'b42447dc8265cd94a84794e9684db245d65a84e5', 'user_agent': 'Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/3.0)', 'session_id': '80a5a54b-1b26-4f82-ba63-0436cd9df432', 'risk_score': 60.54, 'confidence': 0.74}",,,,,,No additional info,ArcSight Alert: Container Escape detected from 3.17.60.36 targeting N/A No additional info,,,,,3.17.60.36,,Container Escape,SIG-8603,Policy,,,,,,,,,,,,,"{'geo_location': 'Lesotho', 'device_hash': 'b42447dc8265cd94a84794e9684db245d65a84e5', 'user_agent': 'Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/3.0)', 'session_id': '80a5a54b-1b26-4f82-ba63-0436cd9df432', 'risk_score': 60.54, 'confidence': 0.74}",b42447dc8265cd94a84794e9684db245d65a84e5
